,Word,Count
2960,Arizona,48
450,created,48
743,Law,48
1723,hits,48
3604,books,48
2429,Pelosi,48
308,father,48
1284,AlexSalmond,47
1446,plans,47
3005,cuts,47
1561,announcement,47
3187,Government,47
5111,pass,47
3239,cast,47
2926,poor,47
3033,luxury,47
1480,safety,47
2728,named,47
4335,career,47
4235,spoke,47
4013,Yankees,47
14753,Star,47
1805,Wisconsin,47
6127,reality,47
5562,tweet,47
2242,East,47
84,Should,47
2088,records,47
194,By,47
3842,Campaign,47
7642,enforcement,47
2726,huge,47
2197,three,47
7035,side,47
7622,DONALD,46
3272,doubt,46
590,NFL,46
886,list,46
422,Wrong,46
2136,May,46
3437,Watching,46
166,company,46
5095,often,46
2503,outside,46
2589,bringing,46
3863,fans,46
3332,Market,46
3577,quickly,46
705,picture,46
55,VoteTrump,46
5676,reported,46
1512,sent,46
5813,leading,46
3693,forced,46
4368,mean,46
1136,Where,46
2595,theyre,46
1914,Las,45
3689,Tom,45
2182,politician,45
2218,whats,45
2529,talent,45
4724,Some,45
952,growth,45
1439,states,45
1991,though,45
1878,1st,45
893,incompetent,45
2465,gives,45
1251,AllStar,45
3305,private,45
3064,force,45
5305,McCain,45
3118,Tune,45
1201,WALL,45
527,response,45
3334,Strong,45
2770,Links,45
6283,Dossier,45
3410,head,45
4332,businessman,45
6294,calls,45
3024,late,45
1665,situation,45
11277,spectacular,44
5093,afraid,44
3537,Department,44
1824,found,44
3569,missed,44
4454,laughing,44
5871,treated,44
1199,800,44
364,members,44
6648,Borders,44
3677,surprise,44
1338,group,44
3480,trumpvlog,44
281,different,44
1501,Blue,44
3463,heart,44
694,Sanders,44
2384,DanScavino,44
2740,offer,44
2173,KarlRove,44
4343,confidence,44
6727,piece,43
2391,based,43
3162,wishes,43
2468,TrumpTowerNY,43
5037,Park,43
5511,Billion,43
24,Kelly,43
286,lightweight,43
6307,appreciate,43
1174,Scott,43
2061,local,43
3138,Without,43
1834,VA,43
4006,administration,43
1248,written,43
2092,sell,43
168,Thx,43
1770,moving,43
5247,Most,43
8490,Friends,43
1579,thinks,43
1821,DACA,43
2000,MissUniverse,43
397,rich,43
3718,wasnt,43
6404,Interesting,43
2931,opportunity,43
4227,received,43
1065,WSJ,43
3139,passion,42
1535,school,42
2601,website,42
10237,offers,42
5683,legal,42
5172,MUST,42
1308,bill,42
1418,Maybe,42
593,except,42
2410,ET,42
2040,crowds,42
4266,shirts,42
7198,brand,42
548,pushing,42
2508,ideas,42
4439,Schumer,42
4594,IT,42
1871,pick,42
1707,Does,42
132,month,42
8907,piersmorgan,42
904,Special,42
3396,DannyZuker,42
7912,DrainTheSwamp,42
1866,track,42
1069,wall,42
5515,fine,42
900,anymore,42
2865,Summit,42
747,changed,42
3003,sold,42
1152,progress,42
6630,presidency,42
1793,fraud,41
5431,14,41
1655,hour,41
4287,hosting,41
1740,lots,41
928,From,41
2038,TeamTrump,41
528,Tea,41
1800,exactly,41
1921,defeat,41
2959,Then,41
2843,1000,41
5105,Immigration,41
3733,PRESIDENT,41
85,Federal,41
1588,celebrity,41
8523,helping,41
3520,Report,41
5835,Veterans,41
6224,enjoyed,41
7613,approval,41
822,spend,41
1352,held,41
3261,telling,41
8925,strength,41
5152,RNC,41
3618,Business,41
2614,finished,41
5389,necessary,41
948,entrepreneurs,40
6835,agenda,40
3803,Was,40
1718,focused,40
3105,June,40
3331,Stock,40
6740,Stop,40
4405,statements,40
7529,issue,40
2942,Steve,40
388,view,40
6170,looked,40
2892,Barack,40
4185,Mayor,40
2196,Center,40
7476,dying,40
645,25,40
3075,troops,40
4014,either,40
3504,Benghazi,40
2347,pathetic,40
1792,Carson,40
6393,Joe,40
1663,AG,40
2526,Sad,40
6888,discuss,40
2308,seems,39
2290,favor,39
7435,ad,39
1412,four,39
2145,realDonaldTrumps,39
103,coverage,39
169,former,39
4108,signing,39
9093,stronger,39
1472,desperate,39
139,2013,39
10795,BrandiGlanville,39
2283,setting,39
2898,collusion,39
4507,Read,39
10047,short,39
8470,Union,39
713,dream,39
1919,claims,39
5438,whose,39
5248,players,39
4410,trouble,39
